math_grade,school,sex,age,address,famsize,pstatus,medu,fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences
16,0,1,16,1,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2
16,0,1,16,1,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2
11,0,1,16,1,0,1,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16
11,0,1,16,1,1,0,3,4,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4
7,0,1,16,1,1,0,4,4,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18
6,0,1,16,1,1,1,1,1,2,2,0,0,1,1,0,1,1,1,0,3,4,2,1,1,5,18
12,0,1,16,1,1,1,1,1,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0
14,0,1,16,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6
15,0,1,16,1,1,1,2,1,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0
11,0,1,16,1,1,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0
12,0,1,16,1,1,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0
9,0,1,16,1,1,1,2,2,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8
16,0,1,16,1,1,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2
10,0,1,16,1,1,1,4,3,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4
15,0,1,16,1,1,1,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10
0,0,1,16,1,1,1,4,3,1,1,0,0,0,0,1,0,1,1,0,5,4,5,1,1,3,0
14,0,1,17,0,0,1,1,2,1,2,0,0,1,1,1,0,1,0,1,3,5,2,2,2,1,2
10,0,1,17,0,0,1,1,2,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4
8,0,1,17,0,0,1,1,3,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20
12,0,1,17,0,0,1,2,1,1,1,0,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0
11,0,1,17,0,0,1,2,2,2,2,0,0,1,1,1,1,1,1,0,4,5,2,1,1,1,4
10,0,1,17,0,0,1,2,2,4,1,0,0,1,0,0,1,1,1,0,4,4,5,5,5,4,8
0,0,1,17,0,0,1,3,4,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0
12,0,1,17,0,1,0,4,4,2,2,0,0,1,1,0,1,1,1,0,3,3,3,2,3,4,2
7,0,1,17,0,1,1,1,1,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0
13,0,1,17,0,1,1,1,2,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8
0,0,1,17,0,1,1,2,1,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0
11,0,1,17,1,0,1,1,1,1,2,0,0,0,1,0,0,1,1,0,4,3,3,1,2,4,2
8,0,1,17,1,0,1,1,2,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12
0,0,1,17,1,0,1,2,1,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0
0,0,1,17,1,0,1,2,1,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0
10,0,1,17,1,0,1,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2
10,0,1,17,1,0,1,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2
13,0,1,17,1,0,1,2,3,2,1,0,0,0,0,0,1,1,1,0,5,2,2,1,1,2,4
10,0,1,17,1,0,1,3,1,1,2,0,0,0,1,1,1,1,1,1,5,4,4,3,4,5,2
5,0,1,17,1,0,1,3,2,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16
11,0,1,17,1,0,1,3,3,1,1,0,0,1,1,0,1,1,1,0,4,4,3,1,3,5,4
6,0,1,17,1,0,1,3,3,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4
16,0,1,17,1,0,1,3,3,1,1,0,0,0,0,1,0,1,1,0,4,3,5,3,5,5,3
11,0,1,17,1,0,1,3,3,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12
11,0,1,17,1,0,1,4,3,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4
16,0,1,17,1,0,1,4,4,1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4
9,0,1,17,1,0,1,4,4,1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,14
10,0,1,17,1,1,0,3,2,1,1,1,0,0,0,0,1,1,1,0,4,4,4,3,4,3,19
8,0,1,17,1,1,0,4,1,2,1,0,0,0,1,1,1,1,1,1,4,5,4,2,4,5,30
8,0,1,17,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,2
13,0,1,17,1,1,1,2,2,1,2,0,0,0,1,1,0,1,1,1,4,4,2,5,5,4,4
12,0,1,17,1,1,1,2,3,1,2,0,0,1,1,0,0,1,1,0,5,3,3,1,3,3,2
12,0,1,17,1,1,1,4,3,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,14
9,0,1,17,1,1,1,4,3,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4
10,0,1,17,1,1,1,4,4,2,1,0,0,0,1,0,1,1,1,0,4,1,1,2,2,5,0
13,0,1,17,1,1,1,4,4,1,2,0,0,1,1,0,1,1,1,1,5,3,5,4,5,3,13
10,0,1,17,1,1,1,4,4,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0
12,0,1,18,0,0,1,3,2,1,3,0,0,0,0,1,0,1,0,0,5,3,2,1,1,3,1
16,0,1,18,0,0,1,4,3,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,9
17,0,1,18,0,1,0,3,4,2,2,0,0,1,1,1,1,1,1,0,4,2,5,3,4,1,13
14,0,1,18,0,1,1,3,2,2,3,0,0,1,1,1,1,1,1,0,5,4,2,1,1,4,8
5,0,1,18,0,1,1,3,3,1,2,1,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8
14,0,1,18,1,0,1,2,1,1,2,0,0,0,0,1,1,1,1,0,5,2,4,1,2,4,8
8,0,1,18,1,0,1,2,1,1,1,1,0,0,0,0,0,0,1,0,3,2,5,2,5,5,4
14,0,1,18,1,0,1,2,1,1,3,0,0,0,1,1,1,1,1,0,4,2,4,1,3,2,6
13,0,1,18,1,0,1,2,2,2,2,0,0,1,1,0,1,1,1,0,3,3,3,5,5,4,0
0,0,1,18,1,0,1,2,2,1,2,1,0,0,0,0,1,0,1,0,5,5,4,3,5,2,0
8,0,1,18,1,0,1,2,2,1,2,1,0,1,1,1,1,1,1,0,4,4,4,2,4,5,15
8,0,1,18,1,0,1,3,2,2,1,1,0,0,0,0,1,0,1,0,4,4,5,2,4,5,0
10,0,1,18,1,0,1,4,2,1,2,0,0,1,1,1,1,1,1,1,5,4,5,1,3,5,10
11,0,1,18,1,0,1,4,2,1,2,0,0,1,1,1,1,1,1,1,4,3,2,1,4,5,11
8,0,1,18,1,0,1,4,3,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,3,2
9,0,1,18,1,0,1,4,3,1,3,0,0,1,1,0,1,1,1,1,5,4,5,2,3,5,0
11,0,1,18,1,0,1,4,4,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,3
9,0,1,18,1,0,1,4,4,2,1,0,0,0,1,1,1,1,1,0,3,2,4,1,4,3,22
9,0,1,18,1,0,1,4,4,2,1,0,0,0,1,1,1,1,1,0,3,2,4,1,4,3,22
0,0,1,18,1,0,1,4,4,1,2,1,0,1,0,1,1,1,1,0,4,3,3,2,2,2,0
0,0,1,18,1,0,1,4,4,1,2,1,0,1,0,1,1,1,1,0,4,3,3,2,2,2,0
15,0,1,18,1,1,0,4,4,1,2,0,0,1,1,1,1,1,1,0,5,4,3,1,1,2,9
0,0,1,18,1,1,1,1,1,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0
9,0,1,18,1,1,1,2,1,4,2,0,1,1,1,1,1,1,1,1,4,3,2,4,5,3,14
8,0,1,18,1,1,1,2,2,1,4,0,0,1,0,1,1,1,1,0,4,5,5,2,4,5,2
8,0,1,18,1,1,1,3,3,1,2,1,0,1,1,0,1,1,1,0,3,2,4,2,4,4,13
15,0,1,18,1,1,1,3,4,1,2,0,0,0,0,1,1,1,1,1,4,3,3,1,3,5,11
10,0,1,18,1,1,1,4,3,2,1,0,0,0,1,1,1,1,1,0,4,2,3,1,2,1,8
16,0,1,18,1,1,1,4,4,1,1,0,0,1,1,0,1,1,1,1,1,4,2,2,2,1,5
12,0,1,19,0,0,1,3,3,1,2,1,0,0,0,1,1,1,0,1,4,5,3,1,2,5,0
0,0,1,19,1,0,1,3,2,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0
11,0,1,19,1,1,0,4,3,1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,12
18,0,1,20,1,0,0,3,2,1,1,0,0,0,0,1,1,1,0,0,5,5,3,1,1,5,0
8,0,1,22,1,0,1,3,1,1,1,3,0,0,0,0,0,0,1,1,5,4,5,5,5,1,16
0,1,0,17,0,0,1,1,1,3,1,1,0,1,1,0,1,1,1,1,5,2,1,1,2,1,0
5,1,0,17,0,0,1,1,2,1,1,0,0,0,0,1,1,1,1,0,3,5,5,1,3,1,14
12,1,0,17,0,0,1,1,2,2,2,0,0,0,0,0,0,1,0,0,3,2,2,1,2,3,0
10,1,0,17,0,0,1,3,1,1,2,0,0,1,1,1,0,1,1,0,4,5,4,2,3,1,17
13,1,0,17,0,0,1,4,4,2,2,0,0,1,1,1,1,1,1,0,4,3,3,1,2,5,4
11,1,0,17,1,0,1,2,2,1,3,0,0,0,0,1,1,1,0,1,3,4,3,1,1,3,8
11,1,0,17,1,1,0,3,2,2,2,0,0,0,0,0,1,1,0,1,1,2,3,1,2,5,2
15,1,0,17,1,1,1,4,4,1,2,0,0,1,1,1,1,1,1,1,2,3,4,1,1,1,0
10,1,0,18,0,0,1,1,1,4,3,0,0,0,0,0,1,1,1,0,4,3,2,1,2,4,2
10,1,0,18,0,0,1,2,2,2,3,0,0,0,1,0,1,1,0,0,5,3,3,1,3,4,2
11,1,0,18,0,0,1,4,4,3,2,0,0,1,1,0,0,1,1,1,3,2,2,4,2,5,10
6,1,0,18,0,0,1,4,4,3,1,0,0,1,1,1,1,1,1,1,4,4,3,2,2,5,7
19,1,0,18,0,1,1,4,4,2,3,0,0,0,0,0,1,1,1,0,5,4,4,1,1,1,0
10,1,0,18,0,1,1,4,4,1,2,0,0,0,1,1,1,1,1,0,5,4,3,3,4,2,4
0,1,0,18,1,0,1,1,1,2,2,1,0,0,0,1,1,1,0,0,1,1,1,1,1,5,0
0,1,0,18,1,0,1,1,1,2,2,1,0,0,0,1,1,1,0,0,1,1,1,1,1,5,0
10,1,0,18,1,0,1,2,3,2,1,0,0,1,1,0,1,1,1,1,5,2,3,1,2,4,0
15,1,0,18,1,0,1,3,3,1,2,0,0,0,1,0,1,1,1,1,4,1,3,1,2,1,0
9,1,0,18,1,0,1,3,3,1,2,0,0,1,0,0,1,1,0,1,5,3,4,1,1,5,0
10,1,0,18,1,0,1,3,3,2,2,0,0,1,0,0,1,1,1,1,4,3,2,1,3,3,0
16,1,0,18,1,1,1,1,1,2,3,0,0,0,0,0,1,1,1,0,5,3,2,1,1,4,0
8,1,0,18,1,1,1,3,1,1,2,0,0,1,1,0,1,1,1,0,4,3,4,1,1,1,0
0,1,0,19,0,0,1,2,3,1,3,1,0,0,0,1,0,1,1,0,5,4,2,1,2,5,0
11,1,1,17,0,0,1,4,3,2,2,0,0,1,1,1,0,1,1,1,4,5,5,1,3,2,4
10,1,1,17,1,0,1,2,3,2,2,0,0,0,0,1,1,1,1,0,4,4,3,1,1,3,2
13,1,1,17,1,0,1,3,3,2,2,0,0,1,1,0,1,1,1,0,4,5,4,2,3,3,2
16,1,1,17,1,1,1,3,1,2,1,0,0,0,0,0,0,1,1,0,2,4,5,3,4,2,3
10,1,1,18,0,0,1,1,3,2,2,0,0,1,1,0,1,1,0,0,3,3,4,2,4,3,4
7,1,1,18,0,0,1,2,1,2,1,0,0,0,0,1,0,1,1,1,4,4,3,1,3,5,5
13,1,1,18,0,0,1,3,2,2,1,1,0,1,0,0,0,1,1,0,2,5,5,5,5,5,10
5,1,1,18,0,0,1,4,2,2,1,1,0,0,1,0,1,1,0,0,5,4,3,4,3,3,14
12,1,1,18,0,1,1,1,2,3,1,0,0,1,1,1,1,0,1,1,4,3,3,2,3,3,3
10,1,1,18,0,1,1,3,2,3,1,0,0,0,0,0,0,1,1,0,4,4,1,3,4,5,0
14,1,1,18,1,0,1,4,4,1,2,0,0,0,1,1,0,1,1,0,3,2,4,1,4,2,4
10,1,1,18,1,1,1,1,1,2,1,0,0,0,0,0,0,1,1,1,3,3,2,1,2,3,4
8,1,1,18,1,1,1,1,3,1,1,1,0,0,0,0,1,0,1,1,4,3,3,2,3,3,7
13,1,1,18,1,1,1,4,4,2,3,0,0,0,1,0,1,1,1,1,4,2,2,2,2,5,0
8,1,1,19,0,0,1,1,1,3,1,1,0,1,0,0,1,1,1,0,4,4,4,3,3,5,4
8,1,1,19,0,0,1,1,1,3,2,3,0,0,0,0,1,1,1,0,5,4,4,3,3,2,8
0,1,1,19,0,0,1,1,1,2,1,1,0,0,0,0,1,1,0,0,4,3,2,1,3,5,0
